是否ICC,rank,Employer (Petitioner) Name,TOTAL
Y,1,Cognizant,14708
,2,Amazon,13058
Y,3,Infosys,"9,722"
,4,Microsoft,"6,972"
,5,Google,"5,761"
,6,Deloitte,"4,708"
Y,7,Capgemini,"4,622"
,8,Meta,4355
Y,9,HCL,"4,081"
,10,Accenture,"4,016"
,11,Apple,"3,869"
,12,IBM,3124
,13,EY,"2,797"
,14,Intel,"2,358"
,15,JPMorgan Chase,"2,305"
,16,Oracle,2066
,17,PwC,1999
,18,Cisco,"1,977"
Y,19,Mphasis,1511
Y,20,Syntel,1459
Y,21,L&T Infotech,1422
,22,Compunnel,1338
Y,23,Mindtree,1150
Y,24,Hexaware,1013
,25,LinkedIn,878
,26,CGI,866
Y,27,L&T Technology Services,859
,28,NVIDIA,762
,29,PayPal,737
,30,Cummins,696